incident_reference,imb_incident_number,incident_type,incident_action,territorial_water_status,closest_coastal_state,closest_state_cow_code,location_description,day,month,year,lat_decimal_degrees,long_decimal_degrees,location_precision,geolocation_source,vessel_name,flag,flag_cow_code,vessel_type,steaming_or_stationary,number_of_assailants,armed,weaponry,violence,violence_dummy,type_of_stolen_goods,port_response_received,ransom_paid,steaming_recode,incident_type_recode,incident_action_recode,time_day,converted_time
1410,,attempted,,malaysia,malaysia,820,"pulau_undan,_malacca_straits",31,5,2000,1.883333333,102.4166667,1,imb,builder,malaysia,820,6,steaming,unspecified,0,unspecified,0,0,none,1,0,1,0,-99,-99,
1415,,attempted,,bangladesh,bangladesh,771,"chittagong,_bangladesh",1,6,2000,22.23833333,91.82666667,2,imb,actuaria,panama,95,4,berthed,6,0,unspecified,0,0,none,0,0,3,0,-99,-99,
1416,,actual,boarded,bangladesh,bangladesh,771,"pussur_river_anchorage_area_14,_mongla,_bangladesh_(coded_as_mongla_port)",1,6,2000,22.4855,89.58583333,2,imb,ardeal,romania,360,6,anchored,unspecified,1,long_knives,3,1,unspecified,1,0,2,1,2,-99,
1413,,attempted,,malaysia,malaysia,820,"tanjung_tohor,_malacca_straits",1,6,2000,1.783333333,102.4666667,1,imb,koa_spirit,bahamas,31,8,steaming,unspecified,0,unspecified,0,0,none,1,0,1,0,-99,-99,
1414,,actual,boarded,malaysia,malaysia,820,malacca_straits,1,6,2000,1.811166667,102.4426667,1,imb,changi,singapore,830,3,steaming,7,1,long_knives,4,1,"cash,_personal_belongings,_property",1,0,1,1,2,-99,
1412,,attempted,,indonesia,indonesia,850,"panjang_anchorage,_indonesia",1,6,2000,-5.456166667,105.3066667,2,imb,haris,cyprus,352,2,anchored,6,1,knives,1,0,none,1,0,2,0,-99,-99,
1417,,attempted,,ecuador,ecuador,130,"guayaquil,_ecuador",2,6,2000,-2.52,-80.08666667,2,imb,msc_andes,liberia,450,6,steaming,unspecified,0,unspecified,0,0,none,1,0,1,0,-99,-99,
1419,,attempted,,cote_d'ivoire,cote_d'ivoire,437,"abidjan_port,_ivory_coast",2,6,2000,5.293166667,-4,2,imb,ras_dinielsen,egypt,651,4,anchored,unspecified,0,unspecified,0,0,mooring_ropes,1,0,2,0,-99,-99,
1418,,actual,boarded,cote_d'ivoire,cote_d'ivoire,437,"abidjan,_ivory_coast",2,6,2000,5.033333333,-4,1,imb,dubai_pride,bahamas,31,8,anchored,unspecified,1,knives,4,1,stores,1,0,2,1,2,-99,
1420,,attempted,,india,india,750,"chennai,_india",3,6,2000,13.10666667,80.305,2,imb,iran_vojdan,iran,630,6,anchored,10,0,unspecified,0,0,none,1,0,2,0,-99,-99,
1422,,attempted,,bangladesh,bangladesh,771,"chittagong,_bangladesh",3,6,2000,22.23833333,91.82666667,2,imb,asia_harmony,singapore,830,6,anchored,unspecified,0,unspecified,0,0,none,1,0,2,0,-99,-99,
1421,,attempted,,philippines,philippines,840,south_china_sea,3,6,2000,18.86666667,118.7333333,1,imb,state_of_tripura,india,750,6,steaming,unspecified,0,unspecified,0,0,none,1,0,1,0,-99,-99,
1423,,actual,boarded,indonesia,indonesia,850,"panjang,_indonesia",5,6,2000,-5.456166667,105.3066667,2,imb,pioneer_skipper,malta,338,6,anchored,4,0,unspecified,0,0,stores,1,0,2,1,2,-99,
1424,,actual,boarded,indonesia,indonesia,850,"belawan,_indonesia",5,6,2000,3.783666667,98.70066667,2,imb,steamers_aries,singapore,830,3,anchored,2,1,long_knives,3,1,unspecified,1,0,2,1,2,-99,
1425,,actual,boarded,india,india,750,"chennai_eastern_breakwater,_india_(coded_as_chennai_port)",6,6,2000,13.10666667,80.305,2,imb,transporter,netherlands_antilles,210,10-heavy_lift,anchored,6,0,unspecified,0,0,unspecified,1,0,2,1,2,-99,
1426,,attempted,,malaysia,malaysia,820,"pulau_undan,_malacca_straits",8,6,2000,1.933333333,102.3,1,imb,hellas,liberia,450,8,steaming,unspecified,0,unspecified,0,0,none,1,0,1,0,-99,-99,
1427,,actual,explosion,bangladesh,bangladesh,771,"chittagong,_bangladesh",9,6,2000,22.23833333,91.82666667,2,imb,chu_hung,panama,95,6,anchored,2,1,long_knives,4,1,mooring_ropes,1,0,2,1,10,-99,
