Incident Reference,Incident Type,Incident Action,Territorial Water Status,Closest Coastal State,Closest State COW Code,IMO?,Location Description,Day,Month,Year,Hour (24-Hr Format),Latitude GPS,Latitude Direction,Lat Degrees,Lat Minutes,Lat Decimal Degrees,Longitude GPS,Longitude Direction,Long Degrees,Long Minutes,Long Decimal Degrees,Location Precision,Geolocation Source,Vessel Name,Flag,Flag COW Code,Vessel Type,Steaming or Stationary,Number of Assailants,Armed,Weaponry,Violence,Violence Dummy,Type of Stolen Goods,Port Response Received,Ransom Paid,Steaming Recode,Incident_type_recode,Incident_action_recode,Time_Day,Converted Time
4812,Actual,Boarded,Indonesia,Indonesia,850,,"Taboneo Anchorage, Indonesia",18,5,2010,17:00,3:43.0,South,3.0000,43.0000,-3.7167,114:28.0,East,114.0000,28.0000,114.4667,1,IMB,Capstone,Panama,95,2,Anchored,5,0,Unknown,0,0,0,1,0,2,1,2,2,5:00:00 PM
4813,Attempted,Fired Upon,Internationa Waters (Indian Ocean),Maldives,781,,"1400 NM East of Mogadishu (Indian Ocean), Off Somalia",20,5,2010,16:00,00:46.2,North,0.0000,46.2000,0.7700,68:26.4,East,68.0000,26.4000,68.4400,1,IMB,Nord Sincere,Panama,95,2,Steaming,5,1,Guns,4,1,0,1,0,1,0,3,2,4:00:00 PM
4827,Attempted,,Yemen,Yemen,679,,Gulf of Aden,3,6,2010,5:20,12:17.0,North,12.0000,17.0000,12.2833,44:11.0,East,44.0000,11.0000,44.1833,1,IMB,Androniki,Panama,95,2,Steaming,Unspecified,1,Unspecified,3,1,0,1,0,1,0,-99,4,5:20:00 AM
4846,Attempted,Fired Upon,Yemen,Yemen,679,,"Bab El Mandeb, Red Sea",21,6,2010,13:59,13:32.7,North,13.0000,32.7000,13.5450,42:59.1,East,42.0000,59.1000,42.9850,1,IMB,Ellenita,Panama,95,2,Steaming,6,1,Guns,4,1,0,1,0,1,0,3,2,1:59:00 PM
4856,Attempted,Fired Upon,Nigeria,Nigeria,475,,"3 NM South of Bonny River Fairway Buoy No.1, Nigeria",27,6,2010,0:30,4:09.1,North,4.0000,9.1000,4.1517,7:01.9,East,7.0000,1.9000,7.0317,1,IMB,Name Withheld,Panama,95,2,Stationary,12,1,Guns,4,1,0,1,0,4,0,3,4,12:30:00 AM
4870,Actual,Boarded,Bangladesh,Bangladesh,771,,"Chittagong Anchorage A, Bangladesh",12,7,2010,20:30,22:16.18,North,22.0000,16.1800,22.2697,91:43.19,East,91.0000,43.1900,91.7198,1,IMB,Vergina,Panama,95,2,Anchored,4,1,Knives,3,1,0,1,0,2,1,2,3,8:30:00 PM
4883,Actual,Boarded,Bangladesh,Bangladesh,771,,"Chittagong Anchorage, Bangladesh",2,8,2010,23:55,22:09.0,North,22.0000,9.0000,22.1500,91:44.0,East,91.0000,44.0000,91.7333,1,IMB,PFS Kershava,Panama,95,2,Anchored,2,1,Long knives,3,1,0,1,0,2,1,2,3,11:55:00 PM
4899,Attempted,,Indonesia,Indonesia,850,,"16nm N of Pulau Dumdum, Indonesia",12,8,2010,12:10,1:26.0,North,1.0000,26.0000,1.4333,106:49.0,East,106.0000,49.0000,106.8167,1,IMB,Great Perseus,Panama,95,2,Steaming,Unspecified,0,Unknown,2,1,0,1,0,1,0,-99,2,12:10:00 PM
4917,Attempted,,Yemen,Yemen,679,,Gulf of Aden,28,8,2010,8:00,13:31.9,North,13.0000,31.9000,13.5317,49:58.2,East,49.0000,58.2000,49.9700,1,IMB,Caribbean Carrier I,Panama,95,2,Steaming,8,1,Guns,4,1,0,1,0,1,0,-99,1,8:00:00 AM
4943,Actual,Boarded,Thailand,Thailand,800,,"Dolphin No. 1-6, Bangkok, Thailand",20,9,2010,19:00,13:42.0000,North,13.0000,42.0000,13.7000,100:35.0000,East, 100.0000 ,35.0000,100.5833,2,IMB,Star Island H,Panama,95,2,Berthed,Unspecified,0,Unknown,0,0,0,1,0,3,1,2,3,7:00:00 PM
