Incident Reference,IMB incident number,Incident Type,Incident Action,Territorial Water Status,Closest Coastal State,Closest State COW Code,Location Description,Day,Month,Year,Lat Decimal Degrees,Long Decimal Degrees,Location Precision,Geolocation Source,Vessel Name,Flag,Flag COW Code,Vessel Type,Steaming or Stationary,Number of Assailants,Armed,Weaponry,Violence,Violence Dummy,Type of Stolen Goods,Port Response Received,Ransom Paid,Steaming Recode,Incident_type_recode,Incident_action_recode,Time_Day,Converted Time
554,,Actual,Boarding,Philippines,Philippines,840,"Manila harbour, Philippines",21,1,1997,14.5931667,121,4,IMB,Sea Rainbow,Liberia,450,2,Unspecified,Unspecified,0,Unspecified,,0,1,1,0,-99,1,2,-99,
555,,Actual,Boarding,Peru (Peruvian point of view),Peru (Peruvian point of view),135,"Amazon river, Peru",22,1,1997,-4.3684,-73.4121,4,IMB,Rio Amazonis,,,10,Steaming,Unspecified,1,Guns,,1,1,1,0,1,1,2,-99,
556,,Actual,Boarding,Philippines,Philippines,840,"Manila North harbour, Philippines",27,1,1997,14.5931667,121,4,IMB,Eagle Prosperity,Cyprus,352,4,Unspecified,Unspecified,1,Guns,,0,0,1,0,-99,1,2,-99,
557,,Actual,Boarding,Somalia,Somalia,520,Somalia,1,2,1997,4.9115,48.4136,4,IMB,Clove,Kenya,501,,Steaming,8,0,Unspecified,,0,0,1,0,1,1,2,-99,
558,,Actual,Hijacked,Philippines,Philippines,840,"Baluk-Baluk Islands, Philippines",1,2,1997,6.5616,121.6183,4,IMB,,Philippines,840,5,Unspecified,10,1,Unspecified,,1,0,1,0,-99,1,1,-99,
559,,Actual,Boarding,Cote d'Ivoire,Cote d'Ivoire,437,"Abidjan, Ivory Coast",5,2,1997,5.2931667,-4,4,IMB,Kenmare,Cyprus,352,2,Unspecified,4,1,Knives,,1,1,1,0,-99,1,2,-99,
560,,Actual,Missing,Cambodia,Cambodia,811,Cambodia,5,2,1997,10.7166667,103.05,1,IMB,Lung Shun 8,Singapore,830,8,Unspecified,Unspecified,0,Unspecified,,1,0,1,0,-99,1,5,-99,
561,,Actual,Hijacked,Malaysia,Malaysia,820,"Langkawi, Malaysia",7,2,1997,6.35,99.6682,4,IMB,Zaidenha,UK,200,9,Anchored,Unspecified,0,Unspecified,,1,0,1,0,2,1,1,-99,
564,,Actual,Boarding,Haiti,Haiti,41,"Rio Haina, Dominican Republic",9,2,1997,18.4166667,-70,4,IMB,Anthos,Bahamas,31,6,Unspecified,Unspecified,0,Unspecified,,0,1,1,0,-99,1,2,-99,
565,,Attempted,,Turkey,Turkey,640,"Mersin port, Turkey",9,2,1997,36.7666667,34.6431667,2,IMB,Tirana,Albania,339,6,Steaming,Unspecified,0,Unspecified,,0,0,1,0,1,0,-99,-99,
562,,Actual,Boarding,Philippines,Philippines,840,"Jojo Osland, Sulu Sea, Philippines",9,2,1997,12.8797,121.774,4,IMB,Rainbow Dragon,,,9,Unspecified,Unspecified,1,Guns,,0,1,1,0,-99,1,2,-99,
563,,Actual,Boarding,Philippines,Philippines,840,"Manila Port, Philippines",9,2,1997,14.5931667,121,2,IMB,Yakov Bondarenko,Ukraine,369,,Anchored,Unspecified,1,Knives,,0,1,1,0,2,1,2,-99,
566,,Attempted,,Guinea,Guinea,438,"Conakry roads, Guinea",11,2,1997,9.5166667,-13.7166667,4,IMB,,,,,Steaming,Unspecified,0,Unspecified,,0,0,1,0,1,0,-99,-99,
567,,Actual,Hijacked,Sri Lanka,Sri Lanka,780,"Coastal waters, Sri Lanka",12,2,1997,6.5527,81.6353,4,IMB,,Cyprus,352,,Unspecified,Unspecified,0,Unspecified,,1,0,1,0,-99,1,1,-99,
568,,Actual,Boarding,India,India,750,"Cochin roads, India",13,2,1997,9.9666667,76.25,4,IMB,Adamas,Greece,350,10,Steaming,4,1,Knives,,0,1,1,0,1,1,2,-99,
569,,Actual,Boarding,Angola,Angola,540,"Luanda, Angola",15,2,1997,-8.8,13.25,4,IMB,Mas Venture,Vanuatu,935,10,Berthed,Unspecified,0,Unspecified,,0,1,1,0,3,1,2,-99,
570,,Actual,Boarding,Tanzania,Tanzania,510,"Dar Es Salam, Tanzania",18,2,1997,-6.833333333,39.28333333,4,IMB,La Bourdannais,Germany,255,4,Unspecified,10,0,Unspecified,,1,1,1,0,-99,1,2,-99,
571,,Actual,Boarding,Georgia,Georgia,372,"Poti, Georgia",19,2,1997,42.1641,41.638,4,IMB,Lady Linda,Cyprus,352,6,Unspecified,Unspecified,0,Unspecified,,0,1,1,0,-99,1,2,-99,
572,,Actual,Hijacked,Philippines,Philippines,840,"80km off Sirawai, Philippines",23,2,1997,7.5827,121.4077,3,IMB,Fortune,Philippines,840,10,Unspecified,7,1,Unspecified,,1,1,1,0,-99,1,1,-99,
573,,Actual,Boarding,Indonesia,Indonesia,850,"Surabaya, Indonesia",25,2,1997,-7.1885,112.7466667,4,IMB,Siskin Arrow,Bahamas,31,2,Unspecified,Unspecified,0,Unspecified,,0,1,1,0,-99,1,2,-99,
